# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_135562.1677369636
# 
Resultados:
# tau_s_=_(9.64+/-0.42)e-08
# dphi_rad_=_6.37+/-0.00
# SAR_W/g_=_113.58+/-4.63
# Hc_kA/m_=_5.68+/-0.25
# Mr_A/m_=_57.17+/-2.86
# Suceptibilidad_a_M=0_=_0.0105+/-0.0002

Nombre_archivo	Time_m	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
135kHz_150dA_100Mss_Ni0sR005.txt	16/05/2024 18:04:14	19.1	49.17	4.94	57041.50	448.08	1.355626e+05	3.447341e+00	6.356877e+00	104.54	8.667498e-08	4426	1.011e-02
135kHz_150dA_100Mss_Ni0sR006.txt	16/05/2024 18:04:15	19.1	55.54	5.58	57041.50	426.65	1.355626e+05	3.373800e+00	6.361052e+00	108.10	9.160732e-08	4426	1.033e-02
135kHz_150dA_100Mss_Ni0sR007.txt	16/05/2024 18:04:16	19.1	55.30	5.54	57041.50	428.32	1.355626e+05	3.379418e+00	6.364107e+00	112.51	9.521586e-08	4426	1.041e-02
135kHz_150dA_100Mss_Ni0sR008.txt	16/05/2024 18:04:17	19.1	53.85	5.43	57041.50	442.26	1.355626e+05	3.354631e+00	6.362131e+00	108.97	9.288056e-08	4426	1.029e-02
135kHz_150dA_100Mss_Ni0sR009.txt	16/05/2024 18:04:18	19.2	52.23	5.34	57041.50	427.30	1.355626e+05	3.304016e+00	6.367008e+00	113.94	9.864402e-08	4426	1.009e-02
135kHz_150dA_100Mss_Ni0sR010.txt	16/05/2024 18:04:19	19.1	57.21	5.69	57041.50	437.27	1.355320e+05	3.395752e+00	6.366045e+00	115.73	9.750520e-08	4427	1.038e-02
135kHz_150dA_100Mss_Ni0sR012.txt	16/05/2024 18:04:21	19.1	59.05	5.76	57041.50	438.90	1.355626e+05	3.460687e+00	6.365724e+00	117.52	9.712637e-08	4426	1.080e-02
135kHz_150dA_100Mss_Ni0sR013.txt	16/05/2024 18:04:21	19.1	57.25	5.61	57041.50	442.79	1.355320e+05	3.446271e+00	6.365172e+00	116.22	9.647457e-08	4427	1.055e-02
135kHz_150dA_100Mss_Ni0sR015.txt	16/05/2024 18:04:23	19.2	54.25	5.40	57041.50	433.55	1.355320e+05	3.402407e+00	6.357336e+00	103.80	8.721832e-08	4427	1.045e-02
135kHz_150dA_100Mss_Ni0sR016.txt	16/05/2024 18:04:25	19.2	61.35	6.10	57041.50	422.17	1.355626e+05	3.344367e+00	6.373952e+00	124.86	1.068617e-07	4426	1.059e-02
135kHz_150dA_100Mss_Ni0sR017.txt	16/05/2024 18:04:26	19.2	58.69	5.82	57041.50	420.83	1.355626e+05	3.369728e+00	6.366778e+00	115.89	9.837323e-08	4426	1.050e-02
135kHz_150dA_100Mss_Ni0sR018.txt	16/05/2024 18:04:27	19.2	58.27	5.70	57041.50	437.02	1.355626e+05	3.428121e+00	6.365139e+00	115.59	9.643474e-08	4426	1.068e-02
135kHz_150dA_100Mss_Ni0sR019.txt	16/05/2024 18:04:28	19.2	60.03	5.96	57041.50	429.88	1.355626e+05	3.362998e+00	6.367871e+00	117.16	9.966464e-08	4426	1.042e-02
135kHz_150dA_100Mss_Ni0sR020.txt	16/05/2024 18:04:29	19.1	57.47	5.80	57041.50	433.93	1.355626e+05	3.358731e+00	6.366169e+00	114.67	9.765375e-08	4426	1.029e-02
135kHz_150dA_100Mss_Ni0sR021.txt	16/05/2024 18:04:30	19.2	54.90	5.47	57041.50	429.05	1.355626e+05	3.343018e+00	6.366124e+00	114.07	9.759937e-08	4426	1.026e-02
135kHz_150dA_100Mss_Ni0sR022.txt	16/05/2024 18:04:31	19.2	58.95	5.80	57041.50	421.67	1.355626e+05	3.360798e+00	6.364245e+00	112.09	9.537971e-08	4426	1.061e-02
135kHz_150dA_100Mss_Ni0sR023.txt	16/05/2024 18:04:32	19.2	56.74	5.70	57041.50	437.37	1.355626e+05	3.306342e+00	6.362589e+00	108.02	9.342177e-08	4426	1.045e-02
135kHz_150dA_100Mss_Ni0sR024.txt	16/05/2024 18:04:33	19.1	55.58	5.51	57041.50	441.26	1.355626e+05	3.388458e+00	6.363875e+00	112.49	9.494093e-08	4426	1.058e-02
135kHz_150dA_100Mss_Ni0sR025.txt	16/05/2024 18:04:34	19.2	57.24	5.67	57041.50	433.59	1.355626e+05	3.408922e+00	6.366704e+00	117.13	9.828476e-08	4426	1.049e-02
135kHz_150dA_100Mss_Ni0sR026.txt	16/05/2024 18:04:36	19.2	52.83	5.29	57041.50	446.37	1.355626e+05	3.377641e+00	6.360713e+00	107.75	9.120488e-08	4426	1.023e-02
135kHz_150dA_100Mss_Ni0sR027.txt	16/05/2024 18:04:36	19.2	55.96	5.59	57041.50	428.90	1.355626e+05	3.322999e+00	6.363968e+00	110.45	9.505078e-08	4426	1.039e-02
135kHz_150dA_100Mss_Ni0sR028.txt	16/05/2024 18:04:38	19.2	60.58	6.06	57041.50	434.44	1.355626e+05	3.323304e+00	6.364414e+00	111.06	9.557780e-08	4426	1.047e-02
135kHz_150dA_100Mss_Ni0sR029.txt	16/05/2024 18:04:39	19.2	61.16	6.12	57041.50	417.79	1.355626e+05	3.309404e+00	6.365877e+00	112.59	9.730738e-08	4426	1.059e-02
135kHz_150dA_100Mss_Ni0sR031.txt	16/05/2024 18:04:41	19.2	60.76	5.90	57041.50	433.68	1.355626e+05	3.429569e+00	6.367333e+00	118.73	9.902852e-08	4426	1.066e-02
135kHz_150dA_100Mss_Ni0sR032.txt	16/05/2024 18:04:42	19.3	57.68	5.67	57041.50	421.67	1.355626e+05	3.365955e+00	6.365818e+00	114.43	9.723717e-08	4426	1.075e-02
135kHz_150dA_100Mss_Ni0sR033.txt	16/05/2024 18:04:43	19.2	56.91	5.61	57041.50	431.50	1.355626e+05	3.387113e+00	6.362779e+00	110.92	9.364630e-08	4426	1.058e-02
135kHz_150dA_100Mss_Ni0sR034.txt	16/05/2024 18:04:44	19.3	54.01	5.36	57041.50	434.92	1.355626e+05	3.377558e+00	6.360372e+00	107.27	9.080293e-08	4426	1.046e-02
135kHz_150dA_100Mss_Ni0sR035.txt	16/05/2024 18:04:45	19.2	59.38	5.88	57041.50	420.10	1.355626e+05	3.318674e+00	6.366983e+00	114.41	9.861472e-08	4426	1.048e-02
135kHz_150dA_100Mss_Ni0sR036.txt	16/05/2024 18:04:46	19.3	59.92	5.95	57041.50	426.69	1.355626e+05	3.347313e+00	6.367962e+00	116.74	9.977392e-08	4426	1.047e-02
135kHz_150dA_100Mss_Ni0sR037.txt	16/05/2024 18:04:47	19.3	61.61	5.92	57041.50	436.88	1.355626e+05	3.462573e+00	6.365283e+00	116.95	9.660574e-08	4426	1.070e-02
135kHz_150dA_100Mss_Ni0sR038.txt	16/05/2024 18:04:50	19.3	57.16	5.70	57041.50	417.85	1.355626e+05	3.306207e+00	6.370369e+00	118.57	1.026203e-07	4426	1.037e-02
135kHz_150dA_100Mss_Ni0sR039.txt	16/05/2024 18:04:51	19.3	58.38	5.77	57041.50	425.19	1.355626e+05	3.343715e+00	6.371399e+00	121.33	1.038390e-07	4426	1.046e-02
