t	CH1	CH2
0.000000e+00	-8.209445e-04	-6.506900e+00
1.000000e-08	-1.063903e-03	-6.589033e+00
2.000000e-08	-1.517042e-03	-6.642218e+00
3.000000e-08	-1.788368e-03	-6.665871e+00
4.000000e-08	-1.361385e-03	-6.696347e+00
5.000000e-08	-1.372126e-03	-6.790607e+00
6.000000e-08	-1.380420e-03	-6.832162e+00
7.000000e-08	-1.460521e-03	-6.875724e+00
8.000000e-08	-9.517051e-04	-6.968360e+00
9.000000e-08	-1.064224e-03	-6.960615e+00
1.000000e-07	-1.372308e-03	-7.021219e+00
1.100000e-07	-1.580711e-03	-7.075373e+00
1.200000e-07	-1.374429e-03	-7.139477e+00
1.300000e-07	-1.594507e-03	-7.191108e+00
1.400000e-07	-1.484709e-03	-7.254213e+00
1.500000e-07	-1.090050e-03	-7.275322e+00
1.600000e-07	-1.299285e-03	-7.305432e+00
1.700000e-07	-1.780457e-03	-7.369060e+00
1.800000e-07	-1.648581e-03	-7.342193e+00
1.900000e-07	-1.397759e-03	-7.473294e+00
2.000000e-07	-1.543537e-03	-7.465823e+00
2.100000e-07	-1.662363e-03	-7.539452e+00
2.200000e-07	-1.357450e-03	-7.571090e+00
2.300000e-07	-1.325755e-03	-7.635242e+00
2.400000e-07	-1.349548e-03	-7.677351e+00
2.500000e-07	-1.351216e-03	-7.728383e+00
2.600000e-07	-1.695139e-03	-7.749590e+00
2.700000e-07	-1.818870e-03	-7.812120e+00
2.800000e-07	-1.782707e-03	-7.844824e+00
2.900000e-07	-1.507566e-03	-7.886948e+00
3.000000e-07	-1.514237e-03	-7.930481e+00
3.100000e-07	-1.528332e-03	-7.970136e+00
3.200000e-07	-1.781969e-03	-8.044742e+00
3.300000e-07	-1.632741e-03	-8.075323e+00
3.400000e-07	-1.440911e-03	-8.066876e+00
3.500000e-07	-1.818438e-03	-8.116950e+00
3.600000e-07	-1.836005e-03	-8.121531e+00
3.700000e-07	-1.776112e-03	-8.161165e+00
3.800000e-07	-1.493584e-03	-8.232243e+00
3.900000e-07	-1.576637e-03	-8.233722e+00
4.000000e-07	-1.764331e-03	-8.274744e+00
4.100000e-07	-1.768386e-03	-8.285847e+00
4.200000e-07	-1.985026e-03	-8.338950e+00
4.300000e-07	-1.963734e-03	-8.339055e+00
4.400000e-07	-1.754836e-03	-8.382164e+00
4.500000e-07	-1.896372e-03	-8.435141e+00
4.600000e-07	-1.940932e-03	-8.445348e+00
4.700000e-07	-1.806316e-03	-8.515822e+00
4.800000e-07	-1.737917e-03	-8.508425e+00
4.900000e-07	-1.690626e-03	-8.508940e+00
5.000000e-07	-1.802684e-03	-8.539516e+00
5.100000e-07	-1.998557e-03	-8.562117e+00
5.200000e-07	-2.078156e-03	-8.551272e+00
5.300000e-07	-1.838836e-03	-8.594246e+00
5.400000e-07	-2.034294e-03	-8.655321e+00
5.500000e-07	-2.056347e-03	-8.654456e+00
